product,rating,price,product url
PetSafe Boundary Wire for Electric Dog and Cat Containment Fences - Durable 16 Gauge and 20 Gauge Options - Available in 500 FT & 150 FT from the Parent Company of the INVISIBLE FENCE Brand  ,4.6 out of 5 stars,42.95,https://amazon.com/sspa/click?ie=UTF8&spc=MToxMjYwODQwNzAxOTU1MDQwOjE2NjgzNzA3MTY6c3BfYXRmX25leHQ6MjAwMDMwOTkzNzgwMjUxOjowOjo&url=%2FPetSafe-Boundary-20-Gauge-Copper-Ground%2Fdp%2FB0017DGFSA%2Fref%3Dsr_1_145_sspa%3Fkeywords%3DPet%2Bproducts%26qid%3D1668370716%26sr%3D8-145-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1
"4Knines Floor Hammock™ for Crew Cab Trucks (Black, Passenger Side Split).  ",4.7 out of 5 stars,169.99,https://amazon.com/sspa/click?ie=UTF8&spc=MToxMjYwODQwNzAxOTU1MDQwOjE2NjgzNzA3MTY6c3BfYXRmX25leHQ6MjAwMDkwMjk2ODIzNjMxOjowOjo&url=%2F4Knines-Floor-Hammock-Trucks-Passenger%2Fdp%2FB08HBBDTGN%2Fref%3Dsr_1_146_sspa%3Fkeywords%3DPet%2Bproducts%26qid%3D1668370716%26sr%3D8-146-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1
"Washable Pee Pads for Dogs, Whelping Pads Washable and Waterproof Reusable Large Puppy Pads Pet Training Pads, Playpen Dogs Mat 48 x 60 Inch (Pack of 2)  ",4.6 out of 5 stars,59.98,https://amazon.com/sspa/click?ie=UTF8&spc=MToxMjYwODQwNzAxOTU1MDQwOjE2NjgzNzA3MTY6c3BfYXRmX25leHQ6MjAwMDk5NDA1MjA2Mzk4OjowOjo&url=%2FWashable-Whelping-Waterproof-Reusable-Training%2Fdp%2FB09MCV95MP%2Fref%3Dsr_1_147_sspa%3Fkeywords%3DPet%2Bproducts%26qid%3D1668370716%26sr%3D8-147-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1
"Plush Paws Products Convertible Cargo Liner | Diamond Stitching | Washable & Waterproof Dog Cargo Protection | Cover Car, Truck, & SUV | Nonslip, Tear Resistant Pet Cargo Cover  ",4.6 out of 5 stars,99.99,https://amazon.com/sspa/click?ie=UTF8&spc=MToxMjYwODQwNzAxOTU1MDQwOjE2NjgzNzA3MTY6c3BfYXRmX25leHQ6MjAwMDQ4NzM4ODY3NTcxOjowOjo&url=%2FPlush-Paws-Refined-Cargo-Liner%2Fdp%2FB01IAHSA8I%2Fref%3Dsr_1_148_sspa%3Fkeywords%3DPet%2Bproducts%26qid%3D1668370716%26sr%3D8-148-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1
Dexas MudBuster Portable Dog Paw Washer/ Paw Cleaner  ,4.4 out of 5 stars,21.98,https://amazon.com/Dexas-MudBuster-Portable-Cleaner-Large/dp/B01N52Z30T/ref=sr_1_149?keywords=Pet+products&qid=1668370716&sr=8-149
"Newcrew Dog Grooming Hammock with Nail Clipper, Nail File, Comb, Grooming Glove, 4 S-Hooks, 2 Scissors, 2 Hanging Straps, Microfiber Cloth for Small Dogs with Weight Capacity 10 to 30 Pounds  ",4.2 out of 5 stars,23.99,https://amazon.com/Newcrew-Grooming-Scissors-Microfiber-Capacity/dp/B09J3Z8LDH/ref=sr_1_150?keywords=Pet+products&qid=1668370716&sr=8-150
"Mirage Pet Products Christmas Fuzzy Wuzzy Smoocher, Medium  ",4.6 out of 5 stars,7.52,https://amazon.com/Mirage-Pet-Products-Christmas-Smoocher/dp/B0085F1N7G/ref=sr_1_152?keywords=Pet+products&qid=1668370716&sr=8-152
"Pet Magasin Reusable Washable Diapers Laundry Bags Durable Premium Polyester Mesh with Secure Drawstring Closure for Delicates,Pet Diapers, Velcro and Etc  ",4.3 out of 5 stars,3.99,https://amazon.com/Pet-Magasin-Polyester-Drawstring-Delicates/dp/B07W48FH4F/ref=sr_1_153?keywords=Pet+products&qid=1668370716&sr=8-153
Ideal Pet Products 3-Panel Airseal and VIP Pet DoorReplacement Flap  ,4.7 out of 5 stars,60.76,https://amazon.com/Ideal-Pet-Products-AirSeal-Replacement/dp/B004Q0C44K/ref=sr_1_156?keywords=Pet+products&qid=1668370716&sr=8-156
K&H Pet Products Thermo-Plush Pad Indoor Heated Pet Bed for Dogs & Cats  ,4.4 out of 5 stars,74.99,https://amazon.com/PET-PRODUCTS-Thermo-Plush-Indoor-Heated/dp/B07QW2ZJ42/ref=sr_1_157?keywords=Pet+products&qid=1668370716&sr=8-157
K&H PET PRODUCTS Lectro-Soft Igloo Style Dog Bed  ,4.3 out of 5 stars,122.36,https://amazon.com/Pet-Products-1053-Lectro-Soft-Included/dp/B07HML6KWP/ref=sr_1_159?keywords=Pet+products&qid=1668370716&sr=8-159
"Analan Mini Pet Hair Remover for Car Detailing Supplies, Carpet Dog Hair Remover for Car Interior, Triangle Dog Hair Remover for Auto Detailing, Couch, Furniture, Lint, Carpet  ",4.6 out of 5 stars,15.99,https://amazon.com/ANALAN-Remover-Couch-Detailing-Fabric/dp/B08FH9GVW2/ref=sr_1_160?keywords=Pet+products&qid=1668370716&sr=8-160
"Ameritex Waterproof Dog Bed Cover Pet Blanket with Anti-Slip Back for Furniture Bed Couch Sofa 2 pcs (20x30 Inches, Light Pink)  ",4.3 out of 5 stars,9.99,https://amazon.com/sspa/click?ie=UTF8&spc=MToxMjYwODQwNzAxOTU1MDQwOjE2NjgzNzA3MTY6c3BfbXRmOjIwMDA5Mzg1OTUzOTQ5ODo6MDo6&url=%2FAmeritex-Waterproof-Blanket-Anti-Slip-Furniture%2Fdp%2FB08RBVBJCK%2Fref%3Dsr_1_161_sspa%3Fkeywords%3DPet%2Bproducts%26qid%3D1668370716%26sr%3D8-161-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
"Ownpets Foldable Pet Sling Carrier, Dog and Cat Papoose Bag with Adjustable Opening & 3 Pockets for Daily Walks & Outdoor Travel, Breathable Shoulder Strap for Puppies, Small Dogs & Cats  ",5.0 out of 5 stars,34.99,https://amazon.com/sspa/click?ie=UTF8&spc=MToxMjYwODQwNzAxOTU1MDQwOjE2NjgzNzA3MTY6c3BfbXRmOjIwMDA4MTM3OTUyNTE5ODo6MDo6&url=%2FOwnpets-Foldable-Adjustable-Breathable-Shoulder%2Fdp%2FB0B2J39ZR7%2Fref%3Dsr_1_162_sspa%3Fkeywords%3DPet%2Bproducts%26qid%3D1668370716%26sr%3D8-162-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
"Bedsure Small Dog Bed for Small Dogs Washable - Round Cat Beds for Indoor Cats, Round Pet Bed for Puppy and Kitten with Slip-Resistant Bottom, 20-25 Inches  ",4.6 out of 5 stars,20.99,https://amazon.com/sspa/click?ie=UTF8&spc=MToxMjYwODQwNzAxOTU1MDQwOjE2NjgzNzA3MTY6c3BfbXRmOjIwMDA3MzkzOTI4NDU5ODo6MDo6&url=%2FBedsure-Clearance-Kitties-Slip-Resistant-Supplies%2Fdp%2FB08CZ8TB83%2Fref%3Dsr_1_163_sspa%3Fkeywords%3DPet%2Bproducts%26qid%3D1668370716%26sr%3D8-163-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1%26smid%3DA23G3BO9GSH7EX
2022 ZeusDaBear Dog Harness | Reflective No Pull Harness Pet Vest | Very Easy Control Pet Walking Adjustable Harness for Small Medium Large XLarge Dogs | No Choke Front Lead Dog Harness…  ,3.8 out of 5 stars,26.95,https://amazon.com/sspa/click?ie=UTF8&spc=MToxMjYwODQwNzAxOTU1MDQwOjE2NjgzNzA3MTY6c3BfbXRmOjIwMDAzMTEwOTY4MDk5ODo6MDo6&url=%2FZeus-Bear-Dog-Harness-Blue%2Fdp%2FB09J7NMHLH%2Fref%3Dsr_1_164_sspa%3Fkeywords%3DPet%2Bproducts%26qid%3D1668370716%26sr%3D8-164-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
"Fuzzy Puppy Flat Sided Pail with Dual Hooks, Snugly Fit On Dog, Cat and Critter Crates & Cages, Heavy Duty Stainless Steel  ",4.7 out of 5 stars,32.99,https://amazon.com/Fuzzy-Puppy-Pet-Products-FSP-6/dp/B019C0QF34/ref=sr_1_165?keywords=Pet+products&qid=1668370716&sr=8-165
"BAGLHER Pet Travel Carrier, Cat Carriers Dog Carrier for Small Medium Cats Dogs Puppies, Airline Approved Small Dog Carrier Soft Sided, Collapsible Puppy Carrier.  ",4.5 out of 5 stars,32.99,https://amazon.com/BAGLHER-Carriers-Approved-Collapsible-Carrier/dp/B09QPMCCFV/ref=sr_1_166?keywords=Pet+products&qid=1668370716&sr=8-166
"Dog Cooling Pad - CoolerDog Dog Cooling Products Hydro Cooling Mat (23""x18"")  ",4.4 out of 5 stars,49.99,https://amazon.com/CoolerDog-Cooling-Products-Hydro-Medium/dp/B07NQQD5B8/ref=sr_1_167?keywords=Pet+products&qid=1668370716&sr=8-167
Snoozer Lookout Dog Seat Replacement Tether Strap  ,4.7 out of 5 stars,17.95,https://amazon.com/Snoozer-Lookout-Replacement-Strap/dp/B003L1WFRG/ref=sr_1_169?keywords=Pet+products&qid=1668370716&sr=8-169
YAODHAOD 20 Pieces Dog Hair Clips Pet Hair Barrettes Dog Hair Accessories Clip Cute Multicolor Small Bone Small Waterdrop Snap Hairpin Headwear Pet Grooming Products for Dog Cat Puppy Pet  ,4.1 out of 5 stars,7.99,https://amazon.com/YAODHAOD-Barrettes-Accessories-Multicolor-Waterdrop/dp/B09WTKKDZR/ref=sr_1_170?keywords=Pet+products&qid=1668370716&sr=8-170
"CONVELIFE Dog Halter Harnesses Lifting Aid Harness for Dogs, Injury, Disabled or Elderly, Walking Lifting Carry, Mobility Lift, Lift Dog Strap, Front or Rear Support  ",3.5 out of 5 stars,14.99,https://amazon.com/CONVELIFE-Harnesses-Lifting-Disabled-Mobility/dp/B07ZV9GSDZ/ref=sr_1_173?keywords=Pet+products&qid=1668370716&sr=8-173
"LOOBANI Portable Dog Sling for Back Legs, Hip Support Harness to Help Lift Dogs Rear for Canine Aid and Old K9 Cruciate Ligament Rehabilitation  ",4.5 out of 5 stars,24.59,https://amazon.com/LOOBANI-Portable-Cruciate-Ligament-Rehabilitation/dp/B07L3TTZLW/ref=sr_1_174?keywords=Pet+products&qid=1668370716&sr=8-174
Bushwhacker - Paws n Claws Vehicle Door Protector for Dogs - Sold as Pair - Car Door Scratch Guard K9 Truck Back Shield Pet Side Panel Cover Back Seat Sedan SUV Scratching Protection Guard  ,4.3 out of 5 stars,24.95,https://amazon.com/Bushwhacker-Vehicle-Protector-Scratch-Shield/dp/B00PV09VZ4/ref=sr_1_175?keywords=Pet+products&qid=1668370716&sr=8-175
"Srtood Pet Grooming Magic Gloves, Dog Cat Bathing Shampoo Brush, Silicone Hair Removal Gloves with Thick High Density Teeth for Bathing and Messaging, Double-Side Scrubbing Gloves for Shedding  ",4.3 out of 5 stars,14.99,https://amazon.com/Srtood-Grooming-Messaging-Double-Side-Scrubbing/dp/B08P29QR6D/ref=sr_1_176?keywords=Pet+products&qid=1668370716&sr=8-176
"3 Pack Cat and Dog Blanket - MIWOPET Soft & Warm Fleece Flannel Pet Blanket, Great Pet Throw for Puppy, Small Dog, Medium Dog & Large Dog (Small)  ",4.6 out of 5 stars,13.99,https://amazon.com/sspa/click?ie=UTF8&spc=MToxMjYwODQwNzAxOTU1MDQwOjE2NjgzNzA3MTY6c3BfbXRmOjIwMDA5NjMzNjMwNDM5ODo6MDo6&url=%2FPack-Cat-Dog-Blanket-MIWOPET%2Fdp%2FB095RY9P5S%2Fref%3Dsr_1_177_sspa%3Fkeywords%3DPet%2Bproducts%26qid%3D1668370716%26sr%3D8-177-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
"HOVONO Expandable Pet Carrier Backpack for Cats and Dogs, Puppy Dog Cat Travel Hiking Backpacks, Clear Window, Seatbelt Attachments, Airline Approved, Outdoor use, Black  ",4.9 out of 5 stars,45.99,https://amazon.com/sspa/click?ie=UTF8&spc=MToxMjYwODQwNzAxOTU1MDQwOjE2NjgzNzA3MTY6c3BfbXRmOjIwMDA5OTM4Nzc1Nzc5ODo6MDo6&url=%2FHOVONO-Expandable-Backpack-Backpacks-Attachments%2Fdp%2FB0BBFZFPS7%2Fref%3Dsr_1_178_sspa%3Fkeywords%3DPet%2Bproducts%26qid%3D1668370716%26sr%3D8-178-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
"BAGLHER 丨Dog Travel Bag,Pet Supplies Backpack,Pet Accessories Storage Bag 5-Piece Set,with Shoulder Strap,2 Lined Pet Food Containers,2 Foldable Feeding Bowls. Essential Kit for Pet Travel.  ",4.7 out of 5 stars,29.99,https://amazon.com/sspa/click?ie=UTF8&spc=MToxMjYwODQwNzAxOTU1MDQwOjE2NjgzNzA3MTY6c3BfbXRmOjIwMDEwMDI1NTk5MzE5ODo6MDo6&url=%2FBAGLHER-Supplies-Accessories-Containers-Essential%2Fdp%2FB09FDC8C3R%2Fref%3Dsr_1_179_sspa%3Fkeywords%3DPet%2Bproducts%26qid%3D1668370716%26sr%3D8-179-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
Ameritex Waterproof Dog Bed Cover Pet Blanket with Anti-Slip Back for Furniture Bed Couch Sofa  ,4.5 out of 5 stars,47.99,https://amazon.com/sspa/click?ie=UTF8&spc=MToxMjYwODQwNzAxOTU1MDQwOjE2NjgzNzA3MTY6c3BfbXRmOjIwMDA5Mzg1OTUzNjU5ODo6MDo6&url=%2FAmeritex-Waterproof-Blanket-Anti-Slip-Furniture%2Fdp%2FB08C9QJMCM%2Fref%3Dsr_1_180_sspa%3Fkeywords%3DPet%2Bproducts%26qid%3D1668370716%26sr%3D8-180-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
"neabot P1 Pro Pet Grooming Kit & Vacuum Suction 99% Pet Hair, Professional Grooming Clippers with 5 Proven Grooming Tools for Dogs Cats and Other Animals(Renamed to Neakasa)  ",4.6 out of 5 stars,148.0,https://amazon.com/neabot-Grooming-Suction-Professional-Clippers/dp/B093KRX2K1/ref=sr_1_183?keywords=Pet+products&qid=1668370716&sr=8-183
"K&H Pet Products Quilted Cargo Cover with Side Walls and Bumper Flap Protection, SUV Dog Cargo Liner, Multiple Colors  ",4.5 out of 5 stars,23.84,https://amazon.com/Pet-Products-Quilted-Cargo-Protector/dp/B004ZJOLBG/ref=sr_1_185?keywords=Pet+products&qid=1668370716&sr=8-185
SoloGroom Solorake Humane Grooming Aid for Horses Dogs and Pets  ,4.3 out of 5 stars,22.9,https://amazon.com/SoloGroom-Solorake-Humane-Grooming-Horses/dp/B007YZBZYE/ref=sr_1_186?keywords=Pet+products&qid=1668370716&sr=8-186
"Professional Pet Products Aromacare Cooling Herbal Mint Spray, 8 oz, Green  ",3.5 out of 5 stars,12.25,https://amazon.com/Professional-Pet-Products-Aromacare-Cooling/dp/B003VTRO88/ref=sr_1_189?keywords=Pet+products&qid=1668370716&sr=8-189
"Pet Soft Washable Female Diapers (3 Pack) - Female Dog Diapers, Comfort Reusable Doggy Diapers for Girl Dog in Period Heat  ",4.5 out of 5 stars,19.99,https://amazon.com/Pet-Soft-Washable-Female-Diapers/dp/B091XRJ5SN/ref=sr_1_191?keywords=Pet+products&qid=1668370716&sr=8-191
"Rightline Gear Range 3 Weatherproof Rooftop Cargo Carrier for Top of Vehicle, Attaches With or Without Roof Rack, 18 Cubic Feet, Black  ",4.2 out of 5 stars,87.77,https://amazon.com/Rightline-Gear-Carrier-Weatherproof-Attaches/dp/B07YN3CV84/ref=sr_1_192?keywords=Pet+products&qid=1668370716&sr=8-192
"RC Pet Products Venture Shell Reflective, Water Resistant Dog Coat  ",4.2 out of 5 stars,15.99,https://amazon.com/RC-Pet-Products-Reflective-Resistant/dp/B00ITH1TME/ref=sr_1_193?keywords=Pet+products&qid=1668370716&sr=8-193
Snuggle Puppy - New Puppy Starter Kit  ,4.7 out of 5 stars,69.95,https://amazon.com/Snuggle-Puppy-New-Starter-Neutral/dp/B07BBWZ8GQ/ref=sr_1_196?keywords=Pet+products&qid=1668370716&sr=8-196
"""N/A"" Pet T-Shirt, Dog Summer Apparel Puppy Pet Clothes for Dogs Cute Soft Vest Basketball Team  ",4.2 out of 5 stars,7.99,https://amazon.com/T-Shirt-Summer-Apparel-Clothes-Basketball/dp/B08HL3FZCL/ref=sr_1_198?keywords=Pet+products&qid=1668370716&sr=8-198
"Mirage Pet Products 500-006 Knit Knacks Disco Duck Organic Cotton Dog Toy, Small  ",5.0 out of 5 stars,13.39,https://amazon.com/Mirage-Pet-Products-500-006-Organic/dp/B017S1SHY4/ref=sr_1_199?keywords=Pet+products&qid=1668370716&sr=8-199
"JASWELL Pet Hair Remover Brush for Couch & Car Seat, Professional Dog & Cat Hair Remover for Home Fabric, Cat Tree, and Car Detailing, Pet Hair Removal Detailer Used in Furniture, Carpet  ",4.2 out of 5 stars,11.99,https://amazon.com/JASWELL-Professional-Detailing-Furniture-Essential/dp/B0B3XYV71B/ref=sr_1_200?keywords=Pet+products&qid=1668370716&sr=8-200
