FID,name,address,products,latitude,longitude
130,Veterinaria Albeytares,"Ejido San Valentin 1114  Col. Morelos 2, Juarez, Chihuahua",Servicios veterinarios para mascotas ,31.63894904,-106.3728077
131,Veterinaria Alfs,"Cloro 1753  Col. Altavista, Juarez, Chihuahua",Comercio al por menor de mascotas,31.75446133,-106.5009547
132,Veterinaria Alve,"Cantera 110  Col. Morelos, Juarez, Chihuahua",Servicios veterinarios para mascotas ,31.67923374,-106.4774027
133,Veterinaria Alyjo,"Napoles   Col. Praderas De Los Oasis Ii, Juarez, Chihuahua",Servicios veterinarios para mascotas ,31.65728053,-106.463106
134,Veterinaria Angeles,"Margarito Herrera 7402  Col. Fernando Baeza M, Juarez, Chihuahua",Servicios veterinarios para mascotas ,31.64255122,-106.3926843
135,Veterinaria Animal Care,"De Los Insurgentes 1918  Col. Ex Hipodromo, Juarez, Chihuahua",Servicios veterinarios para mascotas ,31.73292368,-106.4674475
136,Veterinaria Anivis,"Iztaccihuatl 5512  Col. Erendira, Juarez, Chihuahua",Comercio al por menor de mascotas,31.67346559,-106.4163013
137,Veterinaria Arnal Reveles,"Puerto De Palos 1388 3 Col. Patria, Juarez, Chihuahua",Comercio al por mayor de medicamentos veterinarios y alimentos para animales,31.62205998,-106.3436049
138,Veterinaria Bachilleres,"Valentin Fuentes   Col. San Miguel De Allende, Juarez, Chihuahua",Servicios veterinarios para mascotas ,31.71919912,-106.4318502
139,Veterinaria Batista,"De Los Aztecas 6909  Col. Libertad, Juarez, Chihuahua",Servicios veterinarios para mascotas ,31.68531966,-106.4790124
140,Veterinaria Campanario,"Paseo De Compositores 1514  Col. El Campanario, Juarez, Chihuahua",Servicios veterinarios para mascotas ,31.61127031,-106.3947606
141,Veterinaria Casas Grandes,"Licenciado Oscar Flores Sanchez   Col. Kilometro 5, Juarez, Chihuahua",Servicios veterinarios para mascotas ,31.69968484,-106.44328
142,Veterinaria Castaneda,"Ramon Rayon   Col. Rinconada De Las Torres Iii, Juarez, Chihuahua",Servicios veterinarios para mascotas ,31.61847467,-106.3773362
143,Veterinaria Catalan,"Manuel Gomez Morin   Col. Del Crucero, Juarez, Chihuahua",Servicios veterinarios para mascotas ,31.72402449,-106.4240673
144,Veterinaria Cats And Dogs,"Manuel Gomez Morin 1525  Col. Fidel Avila, Juarez, Chihuahua",Servicios veterinarios para mascotas ,31.6803403,-106.3711613
145,Veterinaria Central,"Aeronautica  7 Col. Jardines Del Aeropuerto, Juarez, Chihuahua",Servicios veterinarios para mascotas ,31.62011369,-106.4402935
146,Veterinaria Cerevet,"Mesa Central 2915  Col. Profesora Simona Barbara, Juarez, Chihuahua",Servicios veterinarios para mascotas ,31.5940779,-106.3722267
147,Veterinaria Chanoc,"Juarez-Porvenir   Col. Zaragoza, Juarez, Chihuahua",Servicios veterinarios para mascotas ,31.6479794,-106.3553231
148,Veterinaria Charly,"16 De Septiembre 681  Col. Monumento, Juarez, Chihuahua",Servicios veterinarios para mascotas ,31.73892943,-106.4778894
149,Veterinaria Consu Vet,"Juarez-Porvenir 880  Col. Zaragozita, Juarez, Chihuahua",Servicios veterinarios para mascotas ,31.6388293,-106.3384258
150,Veterinaria D Bulls,"Morence 243 4 Col. Praderas Del Sur, Juarez, Chihuahua",Servicios veterinarios para mascotas ,31.62130807,-106.3724179
151,Veterinaria Del Angel,"Antiguo Camino A San Jose   Col. Partido Iglesias, Juarez, Chihuahua",Servicios veterinarios para mascotas ,31.70655458,-106.4242427
152,Veterinaria Del Desierto,"Juarez-Casas Grandes   Col. Km20, Juarez, Chihuahua",Servicios veterinarios para mascotas ,31.60723502,-106.4585564
153,Veterinaria Del Norte,"Zaragoza 1009  Col. 1Ro De Mayo, Juarez, Chihuahua",Consultorios de medicina general del sector privado,31.66047051,-106.4507543
154,Veterinaria Del Poniente,"Chiapas   Col. Fronteriza, Juarez, Chihuahua",Servicios veterinarios para mascotas ,31.73450758,-106.529187
155,Veterinaria Division Del Norte,"Division Del Norte 2808  Col. Emiliano Zapata, Juarez, Chihuahua",Servicios veterinarios para mascotas ,31.72494471,-106.5056347
156,Veterinaria Doctor Portillo,"Eduardo Estrada Garcia 339  Col. Horizontez Del Sur, Juarez, Chihuahua",Servicios veterinarios para mascotas ,31.60918267,-106.3790008
157,Veterinaria Dog T,"Mesa Central 2754  Col. Olivia Espinoza De Bermudez, Juarez, Chihuahua",Comercio al por menor de mascotas,31.59728146,-106.3683846
158,Veterinaria Dog T,"Desierto De Argentina 1527 24 Col. Carlos Chavira Becerra, Juarez, Chihuahua",Servicios veterinarios para mascotas ,31.59583939,-106.358988
159,Veterinaria Doguito,"Perimetral Carlos Amaya 2418  Col. Azteca, Juarez, Chihuahua",Servicios veterinarios para mascotas ,31.6957266,-106.4704486
160,Veterinaria Dos Amigos,"Barranco Azul 1211  Col. Toribio Ortega, Juarez, Chihuahua",Servicios veterinarios para mascotas ,31.64494686,-106.4586742
161,Veterinaria Dos Amigos,"Barranco Azul   Col. Colonia Toribio Ortega, Juarez, Chihuahua",Servicios veterinarios para mascotas ,31.64505759,-106.4588761
162,Veterinaria Dr. De Leon,"Montes Urales 6621  Col. Lomas Del Rey, Juarez, Chihuahua",Servicios veterinarios para mascotas ,31.67085319,-106.4295186
163,Veterinaria Dr. Miguel Guevara,"16 De Septiembre 0  Col. Partido Romero, Juarez, Chihuahua",Servicios veterinarios para mascotas ,31.73817487,-106.467693
164,Veterinaria Edli Centeno,"Centeno 7509  Col. Granjero, Juarez, Chihuahua",Servicios veterinarios para mascotas ,31.66510549,-106.4161498
165,Veterinaria Edli,"Trigo 7511  Col. Granjero, Juarez, Chihuahua",Servicios veterinarios para mascotas ,31.665891,-106.4148605
166,Veterinaria El Potro,"Tecnologico 0  Col. Granjas Polo Gamboa, Juarez, Chihuahua",Comercio al por menor de mascotas,31.59315581,-106.4584163
167,Veterinaria El Rancho,"Morera 2183  Col. Francisco Villa (Norponiente), Juarez, Chihuahua",Servicios veterinarios para mascotas ,31.76086789,-106.5114179
168,Veterinaria Estetica Canina Expets Juarez,"Justo Sierra   Col. Manuel Valdez Iii, Juarez, Chihuahua",Servicios veterinarios para mascotas ,31.62817351,-106.3575713
169,Veterinaria Family Pet,"Bosques De Jacarandas   Col. Real De San Jose, Juarez, Chihuahua",Servicios veterinarios para mascotas ,31.70355535,-106.4134665
170,Veterinaria Fernandez,"De Las Americas 1128  Col. Zona Pronaf, Juarez, Chihuahua",Servicios veterinarios para mascotas ,31.74680121,-106.4555954
171,Veterinaria Fido,"Valle Del Sol 1951 7 Col. Ejido Salvarcar, Juarez, Chihuahua",Servicios veterinarios para mascotas ,31.69378451,-106.3720759
172,Veterinaria Foxy,"Hidrogeno 1274  Col. Altavista, Juarez, Chihuahua",Servicios veterinarios para mascotas ,31.75223076,-106.5047496
173,Veterinaria Galerias,"Pedro Rosales De Leon 1770  Col. Galerias Tec, Juarez, Chihuahua",Servicios veterinarios para mascotas ,31.71598562,-106.4238213
174,Veterinaria Galgodromo,"Vicente Guerrero 8515  Col. Las Quintas, Juarez, Chihuahua",Servicios veterinarios para mascotas ,31.73213802,-106.4020406
175,Veterinaria Garza,"Perimetral Carlos Amaya 389  Col. Constitucion, Juarez, Chihuahua",Servicios veterinarios para mascotas ,31.70483765,-106.4577133
176,Veterinaria Haciendas,"Hacienda Del Retiro 3328  Col. Hacienda De Las Torres Universidad, Juarez, Chihuahua",Servicios veterinarios para mascotas ,31.59255637,-106.399715
177,Veterinaria Happy Dog,"Porfirio Diaz 10149  Col. Las Dunas (Iviech), Juarez, Chihuahua",Servicios veterinarios para mascotas ,31.64985576,-106.3901809
178,Veterinaria Herford,"16 De Septiembre 1381  Col. Partido Romero, Juarez, Chihuahua",Comercio al por mayor de medicamentos veterinarios y alimentos para animales,31.73860616,-106.4717899
179,Veterinaria Hermosas Huellitas,"Nogal 306  Col. Insurgentes, Juarez, Chihuahua",Servicios veterinarios para mascotas ,31.74700005,-106.5207146
180,Veterinaria Independencia,"Presa Centenario 546  Col. Independencia I, Juarez, Chihuahua",Servicios veterinarios para mascotas ,31.69412956,-106.4524371
181,Veterinaria Jilotepec,"Manuel J. Clouthier (Jilotepec) 8319  Col. Ampliacion Aeropuerto, Juarez, Chihuahua",Servicios veterinarios para mascotas ,31.66763638,-106.4064843
182,Veterinaria Juarez Nuevo,"A. Alvarez Y A.  29 Col. Infonavit Juarez Nuevo, Juarez, Chihuahua",Servicios veterinarios para mascotas ,31.65126767,-106.3954162
183,Veterinaria Kapi,"Centeno 6272  Col. Colinas De Juarez, Juarez, Chihuahua",Servicios veterinarios para mascotas ,31.6660999,-106.4371097
184,Veterinaria La Cuesta,"Tecnologico 5311  Col. Jarudo, Juarez, Chihuahua",Comercio al por menor de mascotas,31.67819036,-106.4247916
185,Veterinaria Lara,"Pedro Rosales De Leon 5446  Col. San Angel, Juarez, Chihuahua",Servicios veterinarios para mascotas ,31.72003167,-106.4377168
186,Veterinaria Las Torres,"De Las Torres 7618  Col. Fernando Baeza M, Juarez, Chihuahua",Servicios veterinarios para mascotas ,31.63894072,-106.3910358
187,Veterinaria Libramiento,"Henequen 1158  Col. Heroes De Mexico, Juarez, Chihuahua",Servicios veterinarios para mascotas ,31.61828502,-106.3484137
188,Veterinaria Lobo,"Septima 1514  Col. Torres Del Pri, Juarez, Chihuahua",Servicios veterinarios para mascotas ,31.63667835,-106.3873921
189,Veterinaria Lopez Mateos,"Montemayor 2022 4 Col. Arciniega, Juarez, Chihuahua",Servicios veterinarios para mascotas ,31.7148509,-106.4512026
190,Veterinaria Los Parques,"Vicente Guerrero 7736  Col. Los Parques, Juarez, Chihuahua",Servicios veterinarios para mascotas ,31.73270336,-106.4116486
191,Veterinaria Margarita,"Manuel Gomez Morin 1520 6 Col. Satelite, Juarez, Chihuahua",Servicios veterinarios para mascotas ,31.67275548,-106.3681768
192,Veterinaria Mau,"Nueva Zelanda 7831  Col. Oasis, Juarez, Chihuahua",Servicios veterinarios para mascotas ,31.65556352,-106.4155299
193,Veterinaria Mezquital,"Mezquital 3679  Col. El Mezquital, Juarez, Chihuahua",Servicios veterinarios para mascotas ,31.58741833,-106.4015813
194,Veterinaria Mis 3 Bulls,"Duraznos 194  Col. Zaragoza, Juarez, Chihuahua",Servicios veterinarios para mascotas ,31.63297823,-106.3604363
195,Veterinaria Moloso,"A 11425  Col. Cordero, Juarez, Chihuahua",Servicios veterinarios para mascotas ,31.69031125,-106.3796399
196,Veterinaria Monis,"Costa De Marfil   Col. Parque Industrial Zaragoza, Juarez, Chihuahua",Servicios veterinarios para mascotas ,31.65335787,-106.4272958
197,Veterinaria Mr Dog,"De La Raza 5385 16 Col. Mascarenas, Juarez, Chihuahua",Otros servicios personales,31.728027,-106.4375699
198,Veterinaria Oasis,"Del Granjero 7004  Col. Oasis, Juarez, Chihuahua",Servicios veterinarios para mascotas ,31.65909729,-106.424072
199,Veterinaria Oasis,"General Santos Ortiz 1439  Col. Oasis Revolucion, Juarez, Chihuahua",Servicios veterinarios para mascotas ,31.66019028,-106.4543638
200,Veterinaria Ohana,"Plutarco Elias Calles 2690  Col. Division Del  Norte, Juarez, Chihuahua",Servicios veterinarios para mascotas ,31.7063548,-106.4470136
201,Veterinaria Parajes,"Desierto Magreb 1509 8 Col. Paraje De Oriente, Juarez, Chihuahua",Servicios veterinarios para mascotas ,31.60121988,-106.3558471
202,Veterinaria Patas Descalzas,"Ponciano Arriaga 2421  Col. Revolucion Mexicana, Juarez, Chihuahua",Servicios veterinarios para mascotas ,31.67716211,-106.4624151
203,Veterinaria Paty,"Azucenas 3070  Col. Zacatecas, Juarez, Chihuahua",Servicios veterinarios para mascotas ,31.74798359,-106.4972483
204,Veterinaria Peques,"Tecnologico   Col. Rincon Del Valle, Juarez, Chihuahua",Servicios veterinarios para mascotas ,31.6934171,-106.4247289
205,Veterinaria Perros Inc,"Vicente Guerrero 2325  Col. Partido Romero, Juarez, Chihuahua",Servicios veterinarios para mascotas ,31.73491315,-106.4629897
206,Veterinaria Perros Y Gatos,"Casas Grandes 11516 1 Col. Jardines De Satelite, Juarez, Chihuahua",Servicios veterinarios para mascotas ,31.67892476,-106.3809244
207,Veterinaria Pet Inc,"Perimetral Carlos Amaya 3013  Col. Azteca, Juarez, Chihuahua",Servicios veterinarios para mascotas ,31.69591587,-106.4811851
208,Veterinaria Petz,"Independencia 2994  Col. El Mezquital, Juarez, Chihuahua",Servicios veterinarios para mascotas ,31.59718809,-106.3838421
209,Veterinaria Pocas Pulgas,"Tecnologico 5671  Col. La Cuesta Ii, Juarez, Chihuahua",Servicios veterinarios para mascotas ,31.67110292,-106.4256975
210,Veterinaria Pradera,"Rancho El 24 3020  Col. Pradera Dorada, Juarez, Chihuahua",Servicios veterinarios para mascotas ,31.70071534,-106.4226968
211,Veterinaria Puppy,"Oaxaca 960  Col. Morelos 1, Juarez, Chihuahua",Servicios veterinarios para mascotas ,31.6420672,-106.3762492
212,Veterinaria Ramirez,"Manuel Gomez Morin   Col. Adicion Campestre, Juarez, Chihuahua",Servicios veterinarios para mascotas ,31.71423659,-106.4117097
213,Veterinaria Recovey,"Ninguno   Col. Carlos Castillo Peraza, Juarez, Chihuahua",Servicios veterinarios para mascotas ,31.58780491,-106.3701548
214,Veterinaria Reforma,"Reforma 3110 5 Col. Melchor Ocampo, Juarez, Chihuahua",Servicios veterinarios para mascotas ,31.71898131,-106.4630296
215,Veterinaria Roma,"Nabogame 8110  Col. Roma, Juarez, Chihuahua",Servicios veterinarios para mascotas ,31.63160496,-106.3989086
216,Veterinaria Romu,"Las Cumbres 970  Col. El Fortin, Juarez, Chihuahua",Servicios veterinarios para mascotas ,31.63702792,-106.3682138
217,Veterinaria San Fernando,"Simona Barba 6415  Col. Partido La Fuente, Juarez, Chihuahua",Servicios veterinarios para mascotas ,31.72095227,-106.4269966
218,Veterinaria San Jose,"Manuel Payno   Col. Reforma, Juarez, Chihuahua",Servicios veterinarios para mascotas ,31.71543921,-106.4573837
219,Veterinaria San Lorenzo,"L. De Tamiahua 220 4 Col. Mexico, Juarez, Chihuahua",Servicios veterinarios para mascotas ,31.74043486,-106.4243622
220,Veterinaria Sanders,"Sanders 420  Col. Santa Rosa, Juarez, Chihuahua",Servicios veterinarios para mascotas ,31.71851108,-106.4715623
221,Veterinaria Santa Fe,"Carlos Villarreal 1077  Col. Partido Romero, Juarez, Chihuahua",Servicios veterinarios para mascotas ,31.74053239,-106.4737785
222,Veterinaria Santa Fe,"Valle Del Sol 3047  Col. Valle Del Sol, Juarez, Chihuahua",Servicios veterinarios para mascotas ,31.73907897,-106.4057992
223,Veterinaria Santa Maria,"Hacienda Del Porvenir 1302  Col. Hacienda De Las Torres Universidad, Juarez, Chihuahua",Servicios veterinarios para mascotas ,31.59436135,-106.3879382
224,Veterinaria Santa Rosa,"Sevilla 4310  Col. Santa Rosa, Juarez, Chihuahua",Servicios veterinarios para mascotas ,31.71692539,-106.4718451
225,Veterinaria Sarabia,"Francisco Sarabia   Col. Centro, Juarez, Chihuahua",Servicios veterinarios para mascotas ,31.73206978,-106.4885371
226,Veterinaria Satelite,"Manuel Gomez Morin 9906  Col. Partido Senecu, Juarez, Chihuahua",Servicios veterinarios para mascotas ,31.6942025,-106.3869775
227,Veterinaria Sega,"Zaragoza 1206  Col. 0Asis Revolucion, Juarez, Chihuahua",Servicios veterinarios para mascotas ,31.66032126,-106.4522076
228,Veterinaria Senecu,"Manuel Gomez Morin 9050  Col. Senecu, Juarez, Chihuahua",Servicios veterinarios para mascotas ,31.70064012,-106.3977645
229,Veterinaria Sin Nombre,"Sorichi 7804  Col. Roma, Juarez, Chihuahua",Servicios veterinarios para mascotas ,31.63517602,-106.3966377
230,Veterinaria Springfield Animal Health,"Ignacio Allende 277  Col. Morelos, Juarez, Chihuahua",Servicios veterinarios para mascotas ,31.63745832,-106.3605206
231,Veterinaria Super Can,"Uganda 7332  Col. Oasis Oriente, Juarez, Chihuahua",Servicios veterinarios para mascotas ,31.65501645,-106.4219746
232,Veterinaria Topogigio,"Del Granjero 7804  Col. Oasis, Juarez, Chihuahua",Servicios veterinarios para mascotas ,31.65727008,-106.415181
233,Veterinaria Torres Sol,"Ramon Rayon 9951  Col. Pradera De Los Alamos, Juarez, Chihuahua",Servicios veterinarios para mascotas ,31.62199013,-106.400424
234,Veterinaria Tres Animalitos,"Marcos M. Flores 916  Col. Municipio Libre, Juarez, Chihuahua",Servicios veterinarios para mascotas ,31.60161158,-106.3874666
235,Veterinaria Vet And Grooming,"Zaragoza 6751  Col. Nuevo Hipodromo, Juarez, Chihuahua",Servicios veterinarios para mascotas ,31.65980251,-106.4454162
236,Veterinaria Vet Pet,"Canarios 3238  Col. Paseo Del Sol, Juarez, Chihuahua",Servicios veterinarios para mascotas ,31.69872552,-106.4284166
237,Veterinaria Vida Animal,"La Luz 960  Col. Jardines Del Valle, Juarez, Chihuahua",Servicios veterinarios para mascotas ,31.66287841,-106.3690709
238,Veterinaria Villas De Salvarcar,"Villa Verde 2315  Col. Villas De Salvacar, Juarez, Chihuahua",Servicios veterinarios para mascotas ,31.61619611,-106.3900254
239,Veterinaria Vival,"Francisco Tzitza 2255  Col. Fray Garcia De San Francisco, Juarez, Chihuahua",Servicios veterinarios para mascotas ,31.60368746,-106.3643659
240,Veterinaria Waterfill,"Waterfill 209  Col. Rincon De Waterfill, Juarez, Chihuahua",Servicios veterinarios para mascotas ,31.6683032,-106.3517494
241,Veterinaria Y Estetica Canina Grecia,"Grecia 0  Col. Linda Vista, Juarez, Chihuahua",Servicios veterinarios para mascotas ,31.70495593,-106.4742776
242,Veterinaria Y Mascotas Del Centro,"Abraham Gonzalez 155  Col. Zona Centro, Juarez, Chihuahua",Comercio al por menor de mascotas,31.74022934,-106.4846583
243,Veterinaria Zaragoza,"Ejido San Valentin 666  Col. Morelos 1, Juarez, Chihuahua",Servicios veterinarios para mascotas ,31.64194808,-106.369379
244,Vetrinaria Waterfil,"Waterfill 209  Col. Waterfill Rio Bravo, Juarez, Chihuahua",Servicios veterinarios para mascotas ,31.66852532,-106.3524319
245,Zoe Clinica Veterinaria Y Estetica,"Vicente Guerrero 4837  Col. Del Colegio, Juarez, Chihuahua",Servicios veterinarios para mascotas ,31.73359016,-106.4432122
246,Veterinaria Del Ángel,"Av. Ejército Nacional 6905, Partido Iglesias, 32536 Cd Juarez, Chih., Mexico",,31.7064747,-106.4236297
247,Vet&Grooming,"Segunda De Querétaro 6535-1, Lomas De San José, 32680 Cd Juarez, Chih., Mexico",,31.6601213,-106.4293481
248,Grupo Bemasa,"Av. Tecnologico 3087, Tecnologico, 32538 Cd Juarez, Chih., Mexico",Servicios veterinarios para mascotas ,31.6993913,-106.4252619
249,Distribuidora Loya,"C. Jiquilpan 7853, Eréndira, 32662 Cd Juarez, Chih., Mexico","Comercio al por mayor de medicamentos veterinarios y alimentos para animales, servicios veterinarios para mascotas",31.6723393,-106.4100511
250,Jiménez Contreras Silvia,"Rancho El 24 3020, Pradera Dorada, 32618 Cd Juarez, Chih., Mexico",Servicios veterinarios para mascotas ,31.7007001,-106.4225907
251,Paso Del Norte Clínica Veterinaria,"C. Nayarit #6814, Ampliacion Aeropuerto, 32390 Cd Juarez, Chih., Mexico",Servicios veterinarios para mascotas ,31.6643981,-106.4268876
252,Veterinaria Penny-Pets,"C. Malvavisco 7826, Prados Santa Anita, 32600 Cd Juarez, Chih., Mexico",Servicios veterinarios para mascotas ,31.6704589,-106.4073389
253,Vet Samaniego,"Cardenal 6426, Del Márquez, 32607 Cd Juarez, Chih., Mexico",Servicios veterinarios para mascotas ,31.7027476,-106.4302331
254,Pet Home,"Floresta De San José, 32534 Cd Juarez, Chih., Mexico",Servicios veterinarios para mascotas ,31.6989136,-106.4089836
255,Pet'S World,"Av. Ejército Nacional, Pradera Dorada, Floresta De San José, 32618 Cd Juarez, Chih., Mexico",Servicios veterinarios para mascotas ,31.7017592,-106.4134136
256,"""El Ganadero""","Ponciano Arriaga 607, Revolucion Mexicana, 32670 Cd Juarez, Chih., Mexico",Servicios veterinarios para mascotas ,31.676702,-106.448741
257,Farma Pet´S,"Avenida M. J. Clouthier 8427, Eréndira, 32698 Cd Juarez, Chih., Mexico",Servicios veterinarios para mascotas ,31.6676219,-106.4055924
258,Veterinaria,"Av. Ejército Nacional 7226, Pradera Dorada, 32618 Cd Juarez, Chih., Mexico","Comercio al por mayor de medicamentos veterinarios y alimentos para animales, servicios veterinarios",31.7035056,-106.4194799
259,Veterinaria,"Alamillo 3227, Km 5, Cd Juarez, Chih., Mexico",Servicios veterinarios para mascotas ,31.6996915,-106.4431228
260,Samaniego Vet,"Sierra Morena 5549, La Cuesta Ii, Cd Juarez, Chih., Mexico",Servicios veterinarios para mascotas ,31.6736619,-106.4264954
261,Veteridog,"Av. Prof. R. Rivera Lara 7409, Jardines Residencial, Las Acequias, Cd Juarez, Chih., Mexico",Servicios veterinarios para mascotas ,31.6909809,-106.4172972
262,Vetdelreal,"Prolongacion Morelia, Partido Iglesias, 32528 Cd Juarez, Chih., Mexico",Servicios veterinarios para mascotas ,31.6735366,-106.4167473
263,Veterinaria Anubis,"Iztaccíhuatl 5512, Del Real, 32663 Cd Juarez, Chih., Mexico",Servicios veterinarios para mascotas ,31.6733068,-106.4161769
264,Consultorio Veterinario,"C. Sierra De Cordova 5683, La Cuesta Ii, Cd Juarez, Chih., Mexico",Servicios veterinarios para mascotas ,31.6712781,-106.4286842
265,Clinica Veterinaria Samaniego,"C. Sierra De Cordova 5683, La Cuesta, 32650 Cd Juarez, Chih., Mexico",Servicios veterinarios para mascotas ,31.6712565,-106.4287398
266,Veterinaria Penny-Pets,"Calle, Prados Sta Anita 7826, Prados Santa Anita, 32664 Cd Juarez, Chih., Mexico",Servicios veterinarios para mascotas ,31.6759213,-106.4112988
267,Marvet,"32605, Tequisquiapan 234, Santa Teresa, 32605 Cd Juarez, Chih., Mexico",Servicios veterinarios para mascotas ,31.6960539,-106.4297438
268,Minizoo Hospital,"Blvd. Oscar Flores 5553, La Cuesta Ii, 32650 Cd Juarez, Chih., Mexico",Servicios veterinarios para mascotas ,31.674015,-106.439125
