place_name,address_vet,Schedule,class_activity_vet,rating_vet,Latitud,Longitud
A LA MASCOTA,"PERU   COL. HIDALGO, JUÁREZ, CHIHUAHUA",,Servicios veterinarios para mascotas ,null,31.74496885,-106.4693119
CENTRO MEDICO VETERINARIO OSCAR FLORES,"LICENCIADO OSCAR FLORES SANCHEZ   COL. CUESTA, JUÁREZ, CHIHUAHUA","Lunes: 10:00 AM – 8:00 PM, Martes: 10:00 AM – 8:00 PM, Miércoles: 10:00 AM – 8:00 PM, Jueves: 10:00 AM – 8:00 PM, Viernes: 10:00 AM – 8:00 PM, Sabado: 10:00 AM – 6:00 PM, Domingo: 10:00 AM – 2:00 PM, ",Servicios veterinarios para mascotas ,4.5,31.68092696,-106.4370565
ACUARAMA IMPERIAL,"EJERCITO NACIONAL 2701  COL. DEL MARQUEZ, JUÁREZ, CHIHUAHUA",,Comercio al por mayor de medicamentos veterinarios y alimentos para animales,null,31.70744668,-106.4289794
CLINICA VETERINARIA MISIONES,"FUENTE DE VERONA   COL. JARDINES DEL LAGO, JUÁREZ, CHIHUAHUA","Lunes: 8:00 AM – 8:00 PM, Martes: 8:00 AM – 8:00 PM, Miércoles: 8:00 AM – 8:00 PM, Jueves: 8:00 AM – 8:00 PM, Viernes: 8:00 AM – 8:00 PM, Sabado: 8:00 AM – 8:00 PM, Domingo: 9:00 AM – 5:00 PM, ",Servicios veterinarios para mascotas ,5,31.6865227,-106.4169197
AGROINDUSTRIAL LIDERLAC VALLE DE JUAREZ,"TAPACHULA 254  COL. GUADALUPE DISTRITO BRAVO, JUÁREZ, CHIHUAHUA",,Comercio al por mayor de medicamentos veterinarios y alimentos para animales,null,31.60169276,-106.458682
ALVAMA PETS,"PASEO DE RUISEÑORES PONIENTE   COL. PASEOS DEL ALBA, JUÁREZ, CHIHUAHUA",,Servicios veterinarios para mascotas ,null,31.63702237,-106.4168482
ANIMAL CARE,"TLAXCALA  939 COL. CUAUTEMOC, JUÁREZ, CHIHUAHUA",,Servicios veterinarios para mascotas ,null,31.74419326,-106.4742586
ANIMAL CLINICA DE LAS AMERICAS,"JOSE MARTI 2818  COL. AMERICAS, JUÁREZ, CHIHUAHUA",,Servicios veterinarios para mascotas ,null,31.74752006,-106.4565284
BLACK CAN VETERINARIA,"PUERTO DUNQUERQUE 1321  COL. TIERRA NUEVA 2, JUÁREZ, CHIHUAHUA",,Servicios veterinarios para mascotas ,null,31.61458673,-106.3357993
CABALLO & JINETE,"EJIDO SAN AGUSTIN   COL. EL PAPALOTE, JUÁREZ, CHIHUAHUA",,Comercio al por mayor de medicamentos veterinarios y alimentos para animales,null,31.63033706,-106.3449783
CENTRO ANTIRRABICO DE CIUDAD JUAREZ,"DE SEVILLA 4241  COL. SANTA ROSA, JUÁREZ, CHIHUAHUA",,Servicios veterinarios para mascotas prestados por el sector público,null,31.71740319,-106.4725601
CENTRO MEDICO VETERINARIO,"HERMANOS ESCOBAR 2379  COL. HIDALGO, JUÁREZ, CHIHUAHUA",,Servicios veterinarios para mascotas ,null,31.74390505,-106.4621073
CENTRO MEDICO VETERINARIO,"PRADERAS DE LOS ALAMOS 9743  COL. PRADERAS DE LOS ALAMOS, JUÁREZ, CHIHUAHUA",,Servicios veterinarios para mascotas ,null,31.62264345,-106.400927
CLINICA DE ESTERILIZACION,"COSTA RICA 2135  COL. MELCHOR OCAMPO, JUÁREZ, CHIHUAHUA",,Servicios veterinarios para mascotas ,null,31.72072187,-106.4666938
CLINICA DE VETERINARIA,"ZARAGOZA 8431  COL. GRANJERO, JUÁREZ, CHIHUAHUA",,Servicios veterinarios para mascotas ,null,31.65029658,-106.4058954
CLINICA VETERINARIA,"MANUEL AISPURO   COL. INFONAVIT CASAS GRANDES, JUÁREZ, CHIHUAHUA",,Servicios veterinarios para mascotas ,null,31.7054588,-106.4414497
CLINICA VETERINARIA,"ADOLFO LOPEZ MATEOS 1762  COL. PASO DEL NORTE, JUÁREZ, CHIHUAHUA",,Servicios veterinarios para mascotas ,null,31.71817328,-106.451031
CLINICA VETERINARIA BELISARIO,"BELISARIO DOMINGUEZ 0  COL. CORREGIDORA, JUÁREZ, CHIHUAHUA",,Servicios veterinarios para mascotas ,null,31.71999231,-106.4881301
CLINICA VETERINARIA BICHOS,"SANTIAGO BLANCAS 8339  COL. REVOLUCION, JUÁREZ, CHIHUAHUA",,Servicios veterinarios para mascotas ,null,31.63729725,-106.4066959
CLINICA VETERINARIA EL CAMPANARIO,"PASEO DE COMPOSITORES 1514  COL. EL CAMPANARIO CUATRO SIGLOS, JUÁREZ, CHIHUAHUA",,Servicios veterinarios para mascotas ,null,31.61117818,-106.3941007
CLINICA VETERINARIA RINCONADA,"PALACIO DE MITLA 909  COL. BOSQUES DE SALVACAR, JUÁREZ, CHIHUAHUA",,Comercio al por menor de mascotas,null,31.62536568,-106.3814295
CLINICA VETERINARIA SALVARCAR,"PORFIRIO DIAZ 1005  COL. SALVACAR, JUÁREZ, CHIHUAHUA",,Servicios veterinarios para mascotas ,null,31.64639155,-106.3752104
COCOPETS,"EJERCITO NACIONAL 8806  COL. VISTA DEL SOL, JUÁREZ, CHIHUAHUA","Lunes: 9:00 AM – 6:00 PM, Martes: 9:00 AM – 6:00 PM, Miércoles: 9:00 AM – 6:00 PM, Jueves: 9:00 AM – 6:00 PM, Viernes: 9:00 AM – 6:00 PM, Sabado: 9:00 AM – 6:00 PM, Domingo: Cerrado, ",Servicios veterinarios para mascotas ,4.5,31.68911186,-106.3985796
COMIDA DE MASCOTAS,"NINGUNO   COL. 16 DE SEPTIMBRE, JUÁREZ, CHIHUAHUA",,Comercio al por mayor de medicamentos veterinarios y alimentos para animales,null,31.72480992,-106.5346715
COMPRA Y VENTA DE PASTURA,"JUAREZ-CASAS GRANDES 504  COL. K20, JUÁREZ, CHIHUAHUA",,Comercio al por mayor de medicamentos veterinarios y alimentos para animales,null,31.6071121,-106.4541819
CONSULTORIO VETERINARIO,"LAGO HURON 5348  COL. LOS LAGOS, JUÁREZ, CHIHUAHUA",,Servicios veterinarios para mascotas ,null,31.72491008,-106.4381804
CONSULTORIO VETERINARIO,"ADOLFO LOPEZ MATEOS 1192 2 COL. LOS NOGALES, JUÁREZ, CHIHUAHUA",,Servicios veterinarios para mascotas ,null,31.72551567,-106.4503505
CONSULTORIO VETERINARIO,"LINARES 1323  COL. MARIANO ESCOBEDO, JUÁREZ, CHIHUAHUA",,Servicios veterinarios para mascotas ,null,31.72038875,-106.499777
CONSULTORIO VETERINARIO,"TORONJA ROJA  6339 COL. PIE DE CASA EL GRANJERO, JUÁREZ, CHIHUAHUA",,Servicios veterinarios para mascotas ,null,31.65992397,-106.3962212
CONSULTORIO VETERINARIO MARUET,"COCOYOC   COL. SANTA TERESA, JUÁREZ, CHIHUAHUA","Lunes: 9:30 AM – 6:00 PM, Martes: 9:30 AM – 6:00 PM, Miércoles: 9:30 AM – 6:00 PM, Jueves: 9:30 AM – 6:00 PM, Viernes: 9:30 AM – 6:00 PM, Sabado: 9:30 AM – 6:00 PM, Domingo: Cerrado, ",Servicios veterinarios para mascotas ,4.5,31.69599023,-106.4300246
DISTRIBUIDORA RANDAI,"HACIENDA CENTRAL   COL. LAS HACIENDAS, JUÁREZ, CHIHUAHUA",,Comercio al por mayor de medicamentos veterinarios y alimentos para animales,null,31.57759082,-106.3962369
DISTRIBUIDORA VETERINARIA LA VAQUITA SA DE CV,"DEL PORTICO 2038  COL. SATELITE, JUÁREZ, CHIHUAHUA",,Comercio al por mayor de medicamentos veterinarios y alimentos para animales,null,31.6898465,-106.3804188
DISTRIBUIDORA VETERINARIA ROMAR,"PROFESOR ALEJANDRO AGUIRRE LAREDO 5206  COL. LA FUENTE, JUÁREZ, CHIHUAHUA",,Comercio al por mayor de medicamentos veterinarios y alimentos para animales,null,31.71524174,-106.4429976
DOCTOR PET,"NIÑOS HEROES 2429  COL. EX HIPODROMO, JUÁREZ, CHIHUAHUA",,Servicios veterinarios para mascotas ,null,31.72818056,-106.4625982
DOCTOR PET,"DE LA RAZA 708 1 COL. LOS NOGALES, JUÁREZ, CHIHUAHUA",,Servicios veterinarios para mascotas ,null,31.73116361,-106.4496351
DOCTOR PET,"PIÑA 6754  COL. GRANJERO, JUÁREZ, CHIHUAHUA",,Servicios veterinarios para mascotas ,null,31.65518985,-106.4012174
DOGITO VETERINARIA,"JUAREZ-CASAS GRANDES 0 4 COL. KILOMETRO 20, JUÁREZ, CHIHUAHUA",,Servicios veterinarios para mascotas ,null,31.60712566,-106.4527028
DOGTOR,"MANUEL J. CLOUTHIER (JILOTEPEC) 10110  COL. INFONAVIT JUAREZ NUEVO, JUÁREZ, CHIHUAHUA",,Servicios veterinarios para mascotas ,null,31.66027532,-106.3912539
DOGYCAT CLINICA VETERINARIA,"FRANCISCO VILLARREAL TORRES 0  COL. JUAREZ, JUÁREZ, CHIHUAHUA",,Servicios veterinarios para mascotas ,null,31.68419984,-106.3874816
DULCERIA PIÑATAS SIN NOMBRE,"16 DE SEPTIEMBRE   COL. ARROYO COLORADO, JUÁREZ, CHIHUAHUA",,Comercio al por mayor de medicamentos veterinarios y alimentos para animales,null,31.74324862,-106.5021402
ESTETICA CANINA Y FARMACIA VETERINARIA,"VALLE DE JUAREZ   COL. FRONTERA, JUÁREZ, CHIHUAHUA",,Otros servicios personales,null,31.73739483,-106.4154369
ESTETICA CANINA Y VETERINARIA DOG ZONE,"MANUEL J. CLOUTHIER (JILOTEPEC) 10267  COL. INFONAVIT AMPL AEROPUERTO V ETAPA, JUÁREZ, CHIHUAHUA",,Otros servicios personales,null,31.65892227,-106.3871614
ESTETICA VETERINARIA PATITAS,"CAMINO ORTIZ RUBIO 5151  COL. JARDINES DE SAN CARLOS, JUÁREZ, CHIHUAHUA",,Servicios veterinarios para mascotas ,null,31.66604427,-106.3817644
FAMILY PET,"VALLE DEL SOL 1961  COL. EJIDO SALVARCAR, JUÁREZ, CHIHUAHUA",,Servicios veterinarios para mascotas ,null,31.69410208,-106.3738753
FAMILY PET,"DE LAS TORRES   COL. PARQUE INDUSTRIAL HENEQUEN, JUÁREZ, CHIHUAHUA",,Servicios veterinarios para mascotas ,null,31.64816741,-106.3884004
FARMACIA VETERINARIA BULLY,"16 DE SEPTIEMBRE   COL. INSURGENTES, JUÁREZ, CHIHUAHUA",,Servicios veterinarios para mascotas ,null,31.7450476,-106.5086614
FARMACIA VETERINARIA DR DE LEON,"MONTES URALES 6621  COL. LOMAS DEL REY, JUÁREZ, CHIHUAHUA","Lunes: 9:00 AM – 8:00 PM, Martes: 9:00 AM – 8:00 PM, Miércoles: 9:00 AM – 8:00 PM, Jueves: 9:00 AM – 8:00 PM, Viernes: 9:00 AM – 8:00 PM, Sabado: 9:00 AM – 8:00 PM, Domingo: 11:00 AM – 1:00 PM, ",Comercio al por menor de mascotas,4.5,31.67085881,-106.4296507
FARMACIA VETERINARIA EL RANCHO,"RANCHO ANAPRA 10520  COL. PUERTO ANAPRA, JUÁREZ, CHIHUAHUA",,Comercio al por mayor de medicamentos veterinarios y alimentos para animales,null,31.77317365,-106.5540919
FARMAPOLIS,"MANUEL GOMEZ MORIN 1536  COL. SATELITE, JUÁREZ, CHIHUAHUA",,Comercio al por mayor de medicamentos veterinarios y alimentos para animales,null,31.67957176,-106.3712619
FORRAJE EL GRANO DE ORO,"SAUZAL 813  COL. EL SAUZAL, JUÁREZ, CHIHUAHUA",,Comercio al por mayor de medicamentos veterinarios y alimentos para animales,null,31.60845002,-106.3203369
GRANOS Y PASTURAS EL ALAZAN,"GABRIEL GAVIRA 433  COL. KM 20, JUÁREZ, CHIHUAHUA",,Comercio al por mayor de medicamentos veterinarios y alimentos para animales,null,31.60728791,-106.4548862
GRANOS Y SEMILLAS,"JUAREZ-CASAS GRANDES 481 2 COL. KM20, JUÁREZ, CHIHUAHUA",,Comercio al por mayor de medicamentos veterinarios y alimentos para animales,null,31.60715126,-106.4555749
GRANOS Y SEMILLAS DEL VALLE,"CAMPECHE 425  COL. SALVACAR, JUÁREZ, CHIHUAHUA",,Comercio al por mayor de medicamentos veterinarios y alimentos para animales,null,31.64711398,-106.3630408
HAPPY PUPPY,"CAMINO A ORTIZ RUBIO 2115  COL. CORDERO, JUÁREZ, CHIHUAHUA",,Servicios veterinarios para mascotas ,null,31.68936583,-106.3755365
HEALTHY PETS,"BENJAMIN FRANKLIN 3220  COL. ZONA PRONAF, JUÁREZ, CHIHUAHUA",,Servicios veterinarios para mascotas ,null,31.74239829,-106.4518786
HOSPICAN VETERINARIA,"MONTEBELLO 2111  COL. MISIONES, JUÁREZ, CHIHUAHUA",,Servicios veterinarios para mascotas ,null,31.70729291,-106.4099115
HOSPITAL VETERINARIA,"ADOLFO LOPEZ MATEOS 1662  COL. CORDOBA AMERICAS, JUÁREZ, CHIHUAHUA",,Servicios veterinarios para mascotas ,null,31.75211891,-106.448184
HOSPITAL VETERINARIO,"DE LOS INSURGENTES 4032  COL. LOS NOGALES, JUÁREZ, CHIHUAHUA",,Servicios veterinarios para mascotas ,null,31.73175134,-106.4497264
IIG INTRNATIONAL,"JUAREZ-PORVENIR 1004  COL. ZARAGOZITA, JUÁREZ, CHIHUAHUA",,Comercio al por mayor de medicamentos veterinarios y alimentos para animales,null,31.63862997,-106.3380981
INAGRO,"VICENTE GUERRERO 8048  COL. LOS PARQUES, JUÁREZ, CHIHUAHUA",,Comercio al por mayor de medicamentos veterinarios y alimentos para animales,null,31.73234093,-106.4067927
JJ HERMANOS ACOSTA,"PRIMERA 305  COL. SALVACAR, JUÁREZ, CHIHUAHUA",,Comercio al por mayor de medicamentos veterinarios y alimentos para animales,null,31.65278219,-106.3637011
LA PROVIDENCIA,"PUERTO PALMA   COL. TIERRA NUEVA II (FRANCISCO VILLARREAL), JUÁREZ, CHIHUAHUA",,Comercio al por mayor de medicamentos veterinarios y alimentos para animales,null,31.61138417,-106.3332082
LAS MISIONES,"PASEO DE COMPOSITORES 1328  COL. LAS MISIONES, JUÁREZ, CHIHUAHUA",,Servicios veterinarios para mascotas ,null,31.61081178,-106.3916551
Del Sol Hospital Veterinario,"TECNOLOGICO 110  COL. PLAZA DEL SOL, JUÁREZ, CHIHUAHUA","Lunes: 7:00 AM – 10:30 PM, Martes: 7:00 AM – 10:30 PM, Miércoles: 7:00 AM – 10:30 PM, Jueves: 7:00 AM – 10:30 PM, Viernes: 7:00 AM – 10:30 PM, Sabado: 7:00 AM – 10:30 PM, Domingo: 7:00 AM – 10:30 PM, ",Comercio al por mayor de medicamentos veterinarios y alimentos para animales,4.7,31.69986186,-106.4247272
MARA DISTRIBUCIONES,"AERONAUTICA 6910 13 COL. JARDINES DEL AEROPUERTO, JUÁREZ, CHIHUAHUA",,Comercio al por mayor de medicamentos veterinarios y alimentos para animales,null,31.77675235,-106.5668809
MASCOTAS GOO,"RODESIA 7343  COL. INFONAVIT TECNOLOGICO, JUÁREZ, CHIHUAHUA",,Servicios veterinarios para mascotas ,null,31.65331971,-106.4219504
MEDICAN CARE HOSPITAL VETERINARIO,"PITAHAYA   COL. ERENDIRA, JUÁREZ, CHIHUAHUA","Lunes: 9:30 AM – 8:00 PM, Martes: 9:30 AM – 8:00 PM, Miércoles: 9:30 AM – 8:00 PM, Jueves: 9:30 AM – 8:00 PM, Viernes: 9:30 AM – 8:00 PM, Sabado: 9:30 AM – 6:30 PM, Domingo: Cerrado, ",Otros servicios personales,4.7,31.67039815,-106.4092951
MEGAVET,"SENECÚ 2038  COL. SATELITE, JUÁREZ, CHIHUAHUA",,Comercio al por mayor de medicamentos veterinarios y alimentos para animales,null,31.71991291,-106.406583
MINI SUR VETERINARIA,"LAGO DE CORINTO 199  COL. INF FRONTERA, JUÁREZ, CHIHUAHUA",,Servicios veterinarios para mascotas ,null,31.74004526,-106.4189792
MINI ZOO,"VALLE DEL SOL 2050 7 COL. PLAZA SENDERO, JUÁREZ, CHIHUAHUA",,Servicios veterinarios para mascotas ,null,31.69520427,-106.3808714
MINI ZOO,"DE LAS TORRES 2751  COL. HCIENDA DE LAS TORRES, JUÁREZ, CHIHUAHUA",,Servicios veterinarios para mascotas ,null,31.60694745,-106.3978464
MINIZOO,"SANTIAGO TRONCOSO 1328  COL. PARQUE INDUSTRIAL PIMSA INTERMEX, JUÁREZ, CHIHUAHUA",,Servicios veterinarios para mascotas ,null,31.63453812,-106.3848618
MONTESOL ANIMAL CENTER,"MIGUEL DE LA MADRID HURTADO 7096  COL. 41, JUÁREZ, CHIHUAHUA",,Servicios veterinarios para mascotas ,null,31.6475011,-106.4027047
MY VET,"DEL CHARRO 709  COL. RAUL GARCIA, JUÁREZ, CHIHUAHUA",,Servicios veterinarios para mascotas ,null,31.72929378,-106.4317429
PADISA,"FRAY PEDRO DE GANTE 7073  COL. SAN LORENZO, JUÁREZ, CHIHUAHUA",,Comercio al por mayor de medicamentos veterinarios y alimentos para animales,null,31.73629251,-106.4264194
PADISA JUAREZ,"PEDRO DE GANTE 1000  COL. SAN LORENZO, JUÁREZ, CHIHUAHUA",,Comercio al por mayor de medicamentos veterinarios y alimentos para animales,null,31.73628737,-106.4264742
PASTURA NORMA,"CENTENO 7915  COL. GRANJERO, JUÁREZ, CHIHUAHUA","Lunes: 9:00 AM – 6:00 PM, Martes: 9:00 AM – 6:00 PM, Miércoles: 9:00 AM – 6:00 PM, Jueves: 9:00 AM – 6:00 PM, Viernes: 9:00 AM – 6:00 PM, Sabado: 9:00 AM – 6:00 PM, Domingo: Cerrado, ",Comercio al por mayor de medicamentos veterinarios y alimentos para animales,null,31.66509668,-106.4103761
PASTURAS,"COAHUILA 331  COL. LOMAS DE POLEO, JUÁREZ, CHIHUAHUA",,Comercio al por mayor de medicamentos veterinarios y alimentos para animales,null,31.77440518,-106.5704488
PASTURAS CHAPITO,"JUAN BALDERAS   COL. FRONTERIZA ALTA, JUÁREZ, CHIHUAHUA",,Comercio al por mayor de medicamentos veterinarios y alimentos para animales,null,31.73162526,-106.5284802
PASTURAS DEL NORTE,"DE LOS AZTECAS 3653  COL. GRANJAS DE CHAPULTEPEC, JUÁREZ, CHIHUAHUA",,Comercio al por mayor de medicamentos veterinarios y alimentos para animales,null,31.66968643,-106.4743578
PASTURAS EL CHAPITO,"JUAN BALDERAS 5435  COL. FRONTERIZA, JUÁREZ, CHIHUAHUA",,Comercio al por mayor de medicamentos veterinarios y alimentos para animales,null,31.73154743,-106.5280147
PASTURAS EL MEZQUITAL,"MEZQUITAL   COL. EL MEZQUITAL, JUÁREZ, CHIHUAHUA",,Comercio al por mayor de medicamentos veterinarios y alimentos para animales,null,31.59011297,-106.3992143
PASTURAS EL PONNY,"MESA CENTRAL   COL. MANUEL J CLOUTHIER, JUÁREZ, CHIHUAHUA",,Comercio al por mayor de medicamentos veterinarios y alimentos para animales,null,31.60244555,-106.3630777
PASTURAS EL POTRO,"SINALOA 3112  COL. FRONTERIZA ALTA, JUÁREZ, CHIHUAHUA",,Comercio al por mayor de medicamentos veterinarios y alimentos para animales,null,31.73009688,-106.5316544
PASTURAS EL RICHI,"DIVISION DEL NORTE   COL. MARIANO ESCOBEDO, JUÁREZ, CHIHUAHUA",,Comercio al por mayor de medicamentos veterinarios y alimentos para animales,null,31.72311303,-106.4994792
PASTURAS EL TOPO,"JUAREZ-CASAS GRANDES 276  COL. GRANJAS POLO GAMBOA, JUÁREZ, CHIHUAHUA",,Comercio al por mayor de medicamentos veterinarios y alimentos para animales,null,31.60751192,-106.4654377
PASTURAS LA BODEGA,"GABRIEL GAVIRA 475  COL. KM20, JUÁREZ, CHIHUAHUA",,Comercio al por mayor de medicamentos veterinarios y alimentos para animales,null,31.60713845,-106.4551195
